['\xef\xbb\xbfCod;Ingredientes;Proteina;Gordura Total;Gordura Saturada;Gordura Trans;Fibra ;S\xc3\xb3dio;Carboidrato
['145;Pimentão', ' vermelho', ' cru;1.04;0.15;#N/A;;1.59;Tr;5.47
['146;Polvilho', ' doce;0.43;Tr;#N/A;;0.24;1.58;86.77
['147;Quiabo', ' cru;1.92;0.30;#N/A;;4.55;0.89;6.37
['148;Rabanete', ' cru;1.39;0.07;#N/A;;2.19;10.99;2.73
['149;Repolho', ' branco', ' cru;0.88;0.14;#N/A;;1.89;3.64;3.86
['150;Repolho', ' roxo', ' cru;1.91;0.06;#N/A;;1.97;2.34;7.20
['151;Repolho', ' roxo', ' refogado;1.80;1.24;0.19;;1.75;3.42;7.56
['152;Rúcula', ' crua;1.77;0.11;#N/A;;1.74;9.42;2.22
['153;Salsa', ' crua;3.26;0.61;0.08;;1.85;2.30;5.71
['154;Seleta de legumes', ' enlatada;3.42;0.35;0.12;;3.09;398.14;12.67
['155;Serralha', ' crua;2.67;0.74;0.10;;3.52;19.35;4.95
['156;Taioba', ' crua;2.90;0.93;0.20;;4.45;1.16;5.43
['157;Tomate', ' com semente', ' cru;1.10;0.17;#N/A;;1.17;1.02;3.14
['158;Tomate', ' extrato;2.43;0.19;#N/A;;2.80;497.93;14.96
['159;Tomate', ' molho industrializado;1.38;0.90;0.10;;3.12;418.28;7.71
['160;Tomate', ' purê;1.36;Tr;#N/A;;1.03;103.93;6.89
['161;Tomate', ' salada;0.81;Tr;#N/A;;2.27;5.24;5.12
['162;Vagem', ' crua;1.79;0.17;#N/A;;2.38;Tr;5.35
['163;Abacate', ' cru;1.24;8.40;2.30;;6.31;Tr;6.03
['164;Abacaxi', ' cru;0.86;0.12;#N/A;;0.99;Tr;12.33
['165;Abacaxi', ' polpa', ' congelada;0.47;0.11;#N/A;;0.33;1.24;7.80
['166;Abiu', ' cru;0.83;0.70;0.30;;1.70;Tr;14.93
['167;Açaí', ' polpa', ' com xarope de guaraná e glucose;0.72;3.66;0.70;;1.72;15.10;21.46
['168;Açaí', ' polpa', ' congelada;0.80;3.94;0.73;;2.55;5.18;6.21
['169;Acerola', ' crua;0.91;0.21;#N/A;;1.51;Tr;7.97
['170;Acerola', ' polpa', ' congelada;0.59;Tr;#N/A;;0.70;1.28;5.54
['171;Ameixa', ' calda', ' enlatada ;0.41;Tr;#N/A;;0.52;2.70;46.89
['172;Ameixa', ' crua;0.77;Tr;#N/A;;2.43;Tr;13.85
['173;Ameixa', ' em calda', ' enlatada', ' drenada ;1.03;0.28;0.10;;4.55;2.79;47.66
['174;Atemóia', ' crua;0.97;0.30;0.10;;2.14;0.79;25.33
['175;Banana', ' da terra', ' crua;1.43;0.24;#N/A;;1.53;Tr;33.67
['176;Banana', ' doce em barra;2.17;0.05;#N/A;;3.83;9.88;75.67
['177;Banana', ' figo', ' crua;1.13;0.14;#N/A;;2.80;Tr;27.80
['178;Banana', ' maçã', ' crua;1.75;0.06;#N/A;;2.59;Tr;22.34
['179;Banana', ' nanica', ' crua;1.40;0.12;#N/A;;1.95;Tr;23.85
['180;Banana', ' ouro', ' crua;1.48;0.21;#N/A;;1.95;Tr;29.34
['181;Banana', ' pacova', ' crua;1.23;0.08;#N/A;;2.03;0.94;20.31
['182;Banana', ' prata', ' crua;1.27;0.07;#N/A;;2.04;Tr;25.96
['183;Cacau', ' cru;0.95;0.14;#N/A;;2.19;0.70;19.41
['184;Cajá-Manga', ' cru;1.28;Tr;#N/A;;2.58;1.44;11.43
['185;Cajá', ' polpa', ' congelada;0.59;0.17;#N/A;;1.36;6.95;6.37
['186;Caju', ' cru;0.97;0.33;#N/A;;1.68;2.97;10.29
['187;Caju', ' polpa', ' congelada;0.48;0.15;#N/A;;0.81;4.16;9.35
['188;Caju', ' suco concentrado', ' envasado;0.40;0.20;#N/A;;0.63;45.04;10.73
['189;Caqui', ' chocolate', ' cru;0.36;0.07;#N/A;;6.52;2.18;19.33
['190;Carambola', ' crua;0.87;0.18;#N/A;;2.03;4.09;11.48
['191;Ciriguela', ' crua;1.40;0.36;0.20;;3.90;1.68;18.86
['192;Cupuaçu', ' cru;1.16;0.95;0.40;;3.12;3.20;10.43
['193;Cupuaçu', ' polpa', ' congelada;0.84;0.59;0.30;;1.59;0.69;11.39
['194;Figo', ' cru;0.97;0.16;#N/A;;1.79;Tr;10.25
['195;Figo', ' enlatado', ' em calda;0.56;0.15;#N/A;;1.98;6.87;50.34
['196;Fruta-pão', ' crua;1.08;0.19;0.10;;5.55;0.80;17.17
['197;Goiaba', ' branca', ' com casca', ' crua;0.90;0.49;0.06;;6.33;Tr;12.40
['198;Goiaba', ' doce em pasta;0.58;0.00;#N/A;;3.73;3.70;74.12
['199;Goiaba', ' doce', ' cascão;0.41;0.10;#N/A;;4.37;11.03;78.70
['200;Goiaba', ' vermelha', ' com casca', ' crua;1.09;0.44;0.05;;6.22;Tr;13.01
['201;Graviola', ' crua;0.85;0.21;Tr;;1.91;4.16;15.84
['202;Graviola', ' polpa', ' congelada;0.57;0.14;#N/A;;1.19;3.05;9.78
['203;Jabuticaba', ' crua;0.61;0.13;#N/A;;2.30;Tr;15.26
['204;Jaca', ' crua;1.40;0.27;0.10;;2.39;1.80;22.50
['205;Jambo', ' cru;0.89;0.07;#N/A;;5.07;21.66;6.49
